epoch,learning_rate,loss,mean_absolute_error,val_loss,val_mean_absolute_error
0,9.999999974752427e-07,0.3160598576068878,0.5440555214881897,0.26381611824035645,0.47743862867355347
1,9.999999974752427e-07,0.2999020218849182,0.5268265604972839,0.26452475786209106,0.4792114496231079
2,9.999999974752427e-07,0.30592790246009827,0.5295672416687012,0.2657898962497711,0.4798868000507355
3,9.999999974752427e-07,0.2994232177734375,0.5307750105857849,0.26731833815574646,0.48067694902420044
4,9.999999974752427e-07,0.2950984537601471,0.522479236125946,0.26904189586639404,0.48354777693748474
5,9.999999974752427e-07,0.28840354084968567,0.5116240978240967,0.27142825722694397,0.4878329336643219
6,9.999999974752427e-07,0.28267383575439453,0.5073034167289734,0.27408379316329956,0.49284297227859497
7,9.999999974752427e-07,0.2846902012825012,0.49947741627693176,0.2764919102191925,0.4973374307155609
8,9.999999974752427e-07,0.2750767767429352,0.4986255466938019,0.2796725928783417,0.5021231770515442
9,9.999999974752427e-07,0.27336403727531433,0.4921024739742279,0.28322234749794006,0.5081731081008911
10,9.999999974752427e-07,0.2765476703643799,0.49667802453041077,0.2863937318325043,0.5138120055198669
11,9.999999974752427e-07,0.27300146222114563,0.49699273705482483,0.2896116077899933,0.5191830396652222
12,9.999999974752427e-07,0.2667766511440277,0.48233142495155334,0.29223838448524475,0.5233173370361328
